MSE	CV	Reg_param	Kernel_param
0.129178872246	0.155032779532	1.0	[4.6, 4.9, 5.2, 5.5]
0.0563732195715	0.0694509863095	1.0	[3.4, 3.7, 4.0, 4.3]
0.0408984404406	0.0563748888627	1.0	[3.1, 3.4, 3.7, 4.0]
0.113153613414	0.136186169998	1.0	[4.3, 4.6, 4.9, 5.2]
0.0751756111478	0.08900149754	1.0	[3.7, 4.0, 4.3, 4.6]
0.0947777808761	0.109612109278	1.0	[4.0, 4.3, 4.6, 4.9]
0.030463727066	0.0387140971825	1.0	[2.8, 3.1, 3.4, 3.7]
0.0252014680991	0.0365067335898	1.0	[2.5, 2.8, 3.1, 3.4]
0.0239371057307	0.0298561921561	1.0	[2.2, 2.5, 2.8, 3.1]
0.0249219726217	0.0306013213982	1.0	[1.9, 2.2, 2.5, 2.8]
0.0735149183698	0.0856231831231	11.0	[4.6, 4.9, 5.2, 5.5]
0.0532437342527	0.0617547708708	11.0	[4.3, 4.6, 4.9, 5.2]
0.0367571389514	0.045851029434	11.0	[4.0, 4.3, 4.6, 4.9]
0.0265960885558	0.0325913735674	1.0	[1.6, 1.9, 2.2, 2.5]
